"Symbole accepté","Synonyme icône","Nom scientifique","Durée de l'accord","Période de croissance active","Couleur du feuillage","pH (minimum)","pH (maximum)","Précipitations (minimum)","Précipitations (maximum)","Tolérance à l'ombre","Température minimum (°F)"
"ERCU2","","Eragrostis curvula","Vivace","Été","Vert","4.5","8.5","15","40","Intolérant","-8"
"ERCY4","","Eragrostis cylindriflora","Annuelle","","","","","","","",""
"ERFR","","Eragrostis frankii","Annuelle","","","","","","","",""
"ERHI","","Eragrostis hirsuta","Vivace","","","","","","","",""
"ERHY","","Eragrostis hypnoides","Annuelle","Printemps","Vert","4.5","8.5","16","60","Intolérant","-38"
"ERME","","Eragrostis mexicana","Annuelle","","","","","","","",""
"ERMEM","","Eragrostis mexicana ssp. mexicana","Annuelle","","","","","","","",""
"ERMEV","","Eragrostis mexicana ssp. virescens","Annuelle","","","","","","","",""
"ERMI5","","Eragrostis minor","Annuelle","","","","","","","",""
"ERPE","","Eragrostis pectinacea","Annuelle, Vivace","","","","","","","",""
"ERPEP2","","Eragrostis pectinacea var. pectinacea","Annuelle","","","","","","","",""
"ERPI2","","Eragrostis pilosa","Annuelle","","","","","","","",""
"ERRE","","Eragrostis refracta","Vivace","","","","","","","",""
"ERSP","","Eragrostis spectabilis","Vivace","Printemps","Vert","4.0","7.5","10","60","Intolérant","-43"
"ERTR23","","Eragrostis trichophora","Vivace","","","","","","","",""
"ERUN","","Eragrostis unioloides","Annuelle","","","","","","","",""
"ERECH","","Erechtites","","","","","","","","",""
"ERHI2","","Erechtites hieraciifolia","Annuelle","","","","","","","",""
"ERHIH","","Erechtites hieraciifolia var. hieraciifolia","Annuelle","","","","","","","",""
"ERIGE","","Erigenia","","","","","","","","",""
"ERBU","","Erigenia bulbosa","Annuelle, Vivace","","","","","","","",""
"ERIGE2","","Erigeron","","","","","","","","",""
"ERAN","","Erigeron annuus","Annuelle","","","","","","","",""
"ERPH","","Erigeron philadelphicus","Biennale, Vivace","Printemps et été","Vert","4.8","7.8","18","55","Intermédiaire","-28"
"ERPHP","","Erigeron philadelphicus var. philadelphicus","Biennale, Vivace","","","","","","","",""
"ERPU","","Erigeron pulchellus","Vivace","","","","","","","",""
"ERPUB","","Erigeron pulchellus var. brauniae","Vivace","","","","","","","",""
"ERPUP","","Erigeron pulchellus var. pulchellus","Vivace","","","","","","","",""
"ERST3","","Erigeron strigosus","Annuelle, Biennale, Vivace","Printemps et été","Vert","4.8","7.2","12","55","Intolérant","-28"
"ERSTB","","Erigeron strigosus var. beyrichii","Annuelle, Biennale","","","","","","","",""
"ERIOC","","Eriocaulon","","","","","","","","",""
"ERAQ2","","Eriocaulon aquaticum","Vivace","","","","","","","",""
"ERCO7","","Eriocaulon compressum","Vivace","","","","","","","",""
"ERDE5","","Eriocaulon decangulare","Vivace","Printemps","Vert foncé","4.0","7.6","40","60","Intolérant","-8"
"ERDED2","","Eriocaulon decangulare var. decangulare","Vivace","","","","","","","",""
"ERPA4","","Eriocaulon parkeri","Vivace","","","","","","","",""
"ERIOC2","","Eriochloa","","","","","","","","",""
"ERAC4","","Eriochloa acuminata","Annuelle","","","","","","","",""
"ERACA","","Eriochloa acuminata var. acuminata","Annuelle","","","","","","","",""
"ERACM","","Eriochloa acuminata var. minor","Annuelle","","","","","","","",""
"ERPU4","","Eriochloa punctata","Annuelle, Vivace","","","","","","","",""
"ERIOP","","Eriophorum","","","","","","","","",""
"ERGR8","","Eriophorum gracile","Vivace","Été","Vert","4.0","6.5","24","55","Intolérant","-43"
"ERGRG2","","Eriophorum gracile var. gracile","Vivace","","","","","","","",""
"ERVI8","","Eriophorum virginicum","Vivace","Été","Vert","3.8","6.5","35","50","Intolérant","-33"
"ERODI","","Erodium","","","","","","","","",""
"ERCI6","","Erodium cicutarium","Annuelle, Biennale","","","","","","","",""
"ERCIC","","Erodium cicutarium ssp. cicutarium","Annuelle, Biennale","","","","","","","",""
"ERUCA","","Eruca","","","","","","","","",""
"ERVE5","","Eruca vesicaria","Annuelle","","","","","","","",""
"ERVES","","Eruca vesicaria ssp. sativa","Annuelle","","","","","","","",""
"ERUCA2","","Erucastrum","","","","","","","","",""
"ERGA","","Erucastrum gallicum","Annuelle, Biennale","","","","","","","",""
"ERYNG","","Eryngium","","","","","","","","",""
"ERAQ","","Eryngium aquaticum","Biennale","","","","","","","",""
"ERAQA","","Eryngium aquaticum var. aquaticum","Biennale","","","","","","","",""
"ERCA19","","Eryngium campestre","Vivace","","","","","","","",""
"ERYU","","Eryngium yuccifolium","Vivace","","","","","","","",""
"ERYUY","","Eryngium yuccifolium var. yuccifolium","Vivace","","","","","","","",""
"ERYSI","","Erysimum","","","","","","","","",""
"ERCA14","","Erysimum capitatum","Biennale, Vivace","","","","","","","",""
"ERCAC","","Erysimum capitatum var. capitatum","Biennale, Vivace","Printemps et été","Vert","6.0","8.5","12","30","Intolérant","-28"
"ERCH9","","Erysimum cheiranthoides","Annuelle, Biennale","","","","","","","",""
"ERIN7","","Erysimum inconspicuum","Biennale, Vivace","","","","","","","",""
"ERINI6","","Erysimum inconspicuum var. inconspicuum","Biennale, Vivace","","","","","","","",""
"ERRE4","","Erysimum repandum","Annuelle","","","","","","","",""
"ERYTH3","","Erythronium","","","","","","","","",""
"ERAL9","","Erythronium albidum","Vivace","","","","","","","",""
"ERAM5","","Erythronium americanum","Vivace","","","","","","","",""
"ERAMA2","","Erythronium americanum ssp. americanum","Vivace","","","","","","","",""
"ERUM2","","Erythronium umbilicatum","Vivace","","","","","","","",""
"ERUMU","","Erythronium umbilicatum ssp. umbilicatum","Vivace","","","","","","","",""
"EUBOT","","Eubotrys","","","","","","","","",""
"EURA5","","Eubotrys racemosa","Vivace","","","","","","","",""
"EUONY2","","Euonymus","","","","","","","","",""
"EUAL13","","Euonymus alatus","Vivace","","","","","","","",""
"EUALA2","","Euonymus alatus var. alatus","Vivace","","","","","","","",""
"EUAM9","","Euonymus americanus","Vivace","","","","","","","",""
"EUAT5","","Euonymus atropurpureus","Vivace","","","","","","","",""
"EUATA2","","Euonymus atropurpureus var. atropurpureus","Vivace","","","","","","","",""
"EUFO5","","Euonymus fortunei","Vivace","","","","","","","",""
"EUFOR2","","Euonymus fortunei var. radicans","Vivace","","","","","","","",""
"EUPAT","","Eupatorium","","","","","","","","",""
"EUAL2","","Eupatorium album","Vivace","","","","","","","",""
"EUALA","","Eupatorium album var. album","Vivace","","","","","","","",""
"EUAL3","","Eupatorium altissimum","Vivace","","","","","","","",""
"EUCA9","","Eupatorium cannabinum","Vivace","","","","","","","",""
"EUCA5","","Eupatorium capillifolium","Vivace","","","","","","","",""
"EUGO4","","Eupatorium godfreyanum","Vivace","","","","","","","",""
"EUHY","","Eupatorium hyssopifolium","Vivace","","","","","","","",""
"EUHYC","","Eupatorium hyssopifolium var. calcaratum","Vivace","","","","","","","",""
"EUHYH","","Eupatorium hyssopifolium var. hyssopifolium","Vivace","","","","","","","",""
"EUHYL","","Eupatorium hyssopifolium var. laciniatum","Vivace","","","","","","","",""
"EULE","","Eupatorium leucolepis","Vivace","","","","","","","",""
"EULEL","","Eupatorium leucolepis var. leucolepis","Vivace","","","","","","","",""
"EUPE3","","Eupatorium perfoliatum","Vivace","","","","","","","",""
"EUPEP","","Eupatorium perfoliatum var. perfoliatum","Vivace","","","","","","","",""
"EUPI2","","Eupatorium pilosum","Vivace","","","","","","","",""
"EURO4","","Eupatorium rotundifolium","Vivace","","","","","","","",""
"EUROO","","Eupatorium rotundifolium var. ovatum","Vivace","","","","","","","",""
"EUROR","","Eupatorium rotundifolium var. rotundifolium","Vivace","","","","","","","",""
"EUSE","","Eupatorium semiserratum","Vivace","","","","","","","",""
"EUSE2","","Eupatorium serotinum","Vivace","","","","","","","",""
"EUSE3","","Eupatorium sessilifolium","Vivace","","","","","","","",""
"EUSEB","","Eupatorium sessilifolium var. brittonianum","Vivace","","","","","","","",""
"EUSES","","Eupatorium sessilifolium var. sessilifolium","Vivace","","","","","","","",""
"EUSEV","","Eupatorium sessilifolium var. vaseyi","Vivace","","","","","","","",""
"EUPHO","","Euphorbia","","","","","","","","",""
"EUCO8","","Euphorbia commutata","Annuelle","","","","","","","",""
"EUCO10","","Euphorbia corollata","Vivace","","","","","","","",""
"EUCY","","Euphorbia cyathophora","Annuelle, Vivace","","","","","","","",""
"EUCY2","","Euphorbia cyparissias","Vivace","","","","","","","",""
"EUDE4","","Euphorbia dentata","Annuelle","","","","","","","",""
"EUDED","","Euphorbia dentata var. dentata","Annuelle","","","","","","","",""
"EUES","","Euphorbia esula","Vivace","","","","","","","",""
"EUESE","","Euphorbia esula var. esula","Vivace","","","","","","","",""
"EUFA2","","Euphorbia falcata","Annuelle","","","","","","","",""
"EUHE2","","Euphorbia helioscopia","Annuelle","","","","","","","",""
"EUHE13","","Euphorbia herniarifolia","Vivace","","","","","","","",""
"EUIP","","Euphorbia ipecacuanhae","Vivace","","","","","","","",""
"EULA4","","Euphorbia lathyris","Annuelle","","","","","","","",""
"EUMA8","","Euphorbia marginata","Annuelle","","","","","","","",""
"EUPE6","","Euphorbia peplus","Annuelle","","","","","","","",""
"EUPU7","","Euphorbia pubentissima","Vivace","","","","","","","",""
"EUPU4","","Euphorbia purpurea","Vivace","","","","","","","",""
"EUSP","","Euphorbia spathulata","Annuelle, Vivace","","","","","","","",""
"EURYB","","Eurybia","","","","","","","","",""
"EUCO37","","Eurybia compacta","Vivace","","","","","","","",""
"EUDI16","","Eurybia divaricata","Vivace","","","","","","","",""
"EUMA27","","Eurybia macrophylla","Vivace","Printemps, été, automne","Vert foncé","4.9","6.9","35","55","Tolérant","-28"
"EURA10","","Eurybia radula","Vivace","","","","","","","",""
"EUSC5","","Eurybia schreberi","Vivace","","","","","","","",""
"EUSP3","","Eurybia spectabilis","Vivace","","","","","","","",""
"EUTHA","","Euthamia","","","","","","","","",""
"EUCA26","","Euthamia caroliniana","Vivace","","","","","","","",""
"EUGR5","","Euthamia graminifolia","Vivace","","","","","","","",""
"EUGRG","","Euthamia graminifolia var. graminifolia","Vivace","","","","","","","",""
"EUTRO","","Eutrochium","Vivace","","","","","","","",""
"EUDU6","","Eutrochium dubium","Vivace","","","","","","","",""
"EUFI14","","Eutrochium fistulosum","Vivace","","","","","","","",""
"EUMA9","","Eutrochium maculatum","Vivace","","","","","","","",""
"EUMAM4","","Eutrochium maculatum var. maculatum","Vivace","","","","","","","",""
"EUPU21","","Eutrochium purpureum","Vivace","","","","","","","",""
"EUPUP4","","Eutrochium purpureum var. purpureum","Vivace","","","","","","","",""
"EVOLV","","Evolvulus","","","","","","","","",""
"EVFI","","Evolvulus filipes","Vivace","","","","","","","",""
"FAGOP2","","Fagopyrum","","","","","","","","",""
"FAES2","","Fagopyrum esculentum","Annuelle","","Vert","6.0","8.5","15","50","Intermédiaire","40"
"FAGUS","","Fagus","","","","","","","","",""
"FAGR","","Fagus grandifolia","Vivace","Printemps et été","Vert","4.1","7.2","28","80","Tolérant","-44"
"FASY","","Fagus sylvatica","Vivace","","","","","","","",""
"FALCA","","Falcaria","","","","","","","","",""
"FAVU","","Falcaria vulgaris","Vivace","","","","","","","",""
"FESTU","","Festuca","","","","","","","","",""
"FEBR7","","Festuca brevipila","Vivace","","","","","","","",""
"FEFI","","Festuca filiformis","Vivace","","","","","","","",""
"FEPA2","","Festuca paradoxa","Vivace","","","","","","","",""
"FERU2","","Festuca rubra","Vivace","Printemps et automne","Vert","5.0","7.5","30","70","Tolérant","-43"
"FERUR2","","Festuca rubra ssp. rubra","Vivace","","","","","","","",""
"FESU3","","Festuca subverticillata","Vivace","Printemps et été","Vert","5.5","7.2","32","60","Intermédiaire","-43"
"FICUS","","Ficus","","","","","","","","",""
"FICA","","Ficus carica","Vivace","","","","","","","",""
"FILAG","","Filago","","","","","","","","",""
"FIVU2","","Filago vulgaris","Annuelle","","","","","","","",""
"FILIP","","Filipendula","","","","","","","","",""
"FIRU2","","Filipendula rubra","Vivace","","","","","","","",""
"FIMBR","","Fimbristylis","","","","","","","","",""
"FIAN","","Fimbristylis annua","Annuelle","","","","","","","",""
"FIAU2","","Fimbristylis autumnalis","Annuelle","","","","","","","",""
"FICA3","","Fimbristylis caroliniana","Vivace","","","","","","","",""
"FICA4","","Fimbristylis castanea","Vivace","","","","","","","",""
"FIPE","","Fimbristylis perpusilla","Annuelle","","","","","","","",""
"FIPU","","Fimbristylis puberula","Vivace","","","","","","","",""
"FIPUP","","Fimbristylis puberula var. puberula","Vivace","","","","","","","",""
"FIRMI","","Firmiana","","","","","","","","",""
"FISI2","","Firmiana simplex","Vivace","","","","","","","",""
"FISSI2","","Fissidens","","","","","","","","",""
"FIEX","","Fissidens exilis","","","","","","","","",""
"FLAVE","","Flaveria","","","","","","","","",""
"FLTR","","Flaveria trinervia","Annuelle","","","","","","","",""
"FLOER","","Floerkea","","","","","","","","",""
"FLPR","","Floerkea proserpinacoides","Annuelle","","","","","","","",""
"FOENI","","Foeniculum","","","","","","","","",""
"FOVU","","Foeniculum vulgare","Biennale, Vivace","","","","","","","",""
"FORSY","","Forsythia","","","","","","","","",""
"FOSU","","Forsythia suspensa","Vivace","Printemps et été","Vert","5.0","7.5","32","60","Intolérant","-43"
"FOVI","","Forsythia viridissima","Vivace","","","","","","","",""
"FRAGA","","Fragaria","","","","","","","","",""
"FRVE","","Fragaria vesca","Vivace","","","","","","","",""
"FRVEA2","","Fragaria vesca ssp. americana","Vivace","","","","","","","",""
"FRVI","","Fragaria virginiana","Vivace","","","","","","","",""
"FRVIV","","Fragaria virginiana ssp. virginiana","Vivace","","","","","","","",""
"FRANG","","Frangula","","","","","","","","",""
"FRAL4","","Frangula alnus","Vivace","","","","","","","",""
"FRCA13","","Frangula caroliniana","Vivace","","Vert","6.0","7.5","16","51","Tolérant","-27"
"FRAXI","","Fraxinus","","","","","","","","",""
"FRAM2","","Fraxinus americana","Vivace","Printemps et été","Vert","4.7","7.5","28","80","Intolérant","-34"
"FRNI","","Fraxinus nigra","Vivace","Printemps et été","Vert","4.4","8.2","20","50","Intolérant","-47"
"FRPE","","Fraxinus pennsylvanica","Vivace","Printemps et été","Jaune-vert","4.7","8.1","15","71","Tolérant","-47"
"FRPR","","Fraxinus profunda","Vivace","Printemps et été","Vert","4.5","7.3","36","70","Intermédiaire","-24"
"FROEL","","Froelichia","","","","","","","","",""
"FRFL","","Froelichia floridana","Annuelle","","","","","","","",""
"FRFLF","","Froelichia floridana var. floridana","Annuelle","","","","","","","",""
"FRGR3","","Froelichia gracilis","Annuelle","","","","","","","",""
"FUIRE","","Fuirena","","","","","","","","",""
"FUPU","","Fuirena pumila","Annuelle","","","","","","","",""
"FUSQ","","Fuirena squarrosa","Vivace","","","","","","","",""
"FUMAR","","Fumaria","","","","","","","","",""
"FUOF","","Fumaria officinalis","Annuelle","","","","","","","",""
"FUOFO","","Fumaria officinalis ssp. officinalis","Annuelle","","","","","","","",""
"GALAC","","Galactia","","","","","","","","",""
"GARE2","","Galactia regularis","Vivace","","","","","","","",""
"GAVO","","Galactia volubilis","Vivace","","","","","","","",""
"GALAN","","Galanthus","","","","","","","","",""
"GANI","","Galanthus nivalis","Vivace","","","","","","","",""
"GALEA2","","Galearis","","","","","","","","",""
"GASP5","","Galearis spectabilis","Vivace","","","","","","","",""
"GALEG","","Galega","","","","","","","","",""
"GAOF","","Galega officinalis","Vivace","","","","","","","",""
"GALEO","","Galeopsis","","","","","","","","",""
"GATE2","","Galeopsis tetrahit","Annuelle","","","","","","","",""
"GATET2","","Galeopsis tetrahit var. tetrahit","Annuelle","","","","","","","",""
"GALIN","","Galinsoga","","","","","","","","",""
"GAPA2","","Galinsoga parviflora","Annuelle","","","","","","","",""
"GAQU","","Galinsoga quadriradiata","Annuelle","","","","","","","",""
"GALIU","","Galium","","","","","","","","",""
"GAAP2","","Galium aparine","Annuelle","Printemps","Vert","5.4","7.2","14","55","Tolérant","52"
"GAAS2","","Galium asprellum","Vivace","Été","Vert","5.0","7.0","30","50","Tolérant","-33"
